business_name,phone,website,address,instagram,facebook,linkedin,email,city,spin,scraped_at,Has Website,Has Email,Has Social Media,Contact Completeness %,Lead Score,Priority
Waves Gym,022 6678 7970,https://wavesgym.com/free-gym-trial/,"5th Floor, Morya Estate, New Link Rd, opp. Infiniti Mall, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",https://instagram.com/wavesgym/,https://www.facebook.com/wavesgym,https://www.linkedin.com/company/waves-gym/,info@wavesgym.com,Mumbai,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
Plus Fitness 24/7 Mazgaon,099675 19577,https://www.plusfitness.co.in/gyms/mazgaon/,"Plot - 10B, Dr Mascarenhas Rd, Anjirwadi, Thakkar Estate, Mazgaon, Mumbai, Maharashtra 400010",https://www.instagram.com/plusfitnessmazgaon/,https://www.facebook.com/plusfitnessindia/,https://www.linkedin.com/newsletters/plus-fitness-india-reads-7290978690325209090/,mazgaon@plus.fitness,Mumbai,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
"Cult Gym Chembur | Best Gym in Chembur, Mumbai",099164 75702,https://www.cult.fit/cult/center/chembur/Cult-Chembur/1144?utm_source=gmb&utm_medium=organic,"7th Floor, Shrikant Chambers - c, VN Purav Marg, Union Park, Chembur, Mumbai, Maharashtra 400071",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,arun.m@curefit.com,Mumbai,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
"K11 Fitness Academy, Delhi",076666 11011,https://www.keleven.com/,"3rd floor, metro station, Plot No. W2/14, near Patel Nagar, above KFC, Block 2, West Patel Nagar, Patel Nagar, New Delhi, Delhi 110008",https://www.instagram.com/k11fitnessacademy/,https://www.facebook.com/k11schooloffitnesssciences/,https://in.linkedin.com/company/k11-fitness-school,info@keleven.com,Delhi,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
"Cult Gym Thane, Ghodbunder Road | Best Gym in Thane, Ghodbunder Road, Mumbai",0124 687 9379,https://www.cult.fit/cult/center/thane/cult-ghodbunder-road/305?utm_source=Google&utm_medium=Organic&utm_content=Ghodbunder%20Road&utm_campaign=305,"2nd Floor, Dosti Imperia, S2-16, Ghodbunder Rd, above MG Motors India, Manpada, Thane West, Thane, Mumbai, Maharashtra 400610",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,hello@curefit.com,Mumbai,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
Plus Fitness 24/7 Mumbai Central,077009 54224,https://www.plusfitness.co.in/gyms/mumbai-central/,"Navjeevan Society Wing-A, Shop No 105, 1st Floor Nathani Heights, Commercial, Lamington Rd, Mumbai Central, Mumbai, Maharashtra 400008",https://www.instagram.com/plusfitnessmumbaicentral/,https://www.facebook.com/plusfitnessindia/,https://www.linkedin.com/newsletters/plus-fitness-india-reads-7290978690325209090/,mumbaicentral@plus.fitness,Mumbai,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
Nitrro Bespoke Fitness Breach Candy,091673 56491,https://www.nitrro.in/south-mumbai/,"Skybay, Nitrro Bespoke Fitness, Hubtown Skybay, Hubtown, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026",https://www.instagram.com/nitrrofitness/,https://www.facebook.com/NitrroFitness/,https://in.linkedin.com/company/nitrrofitness,info@nitrro.in,Mumbai,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
Health Fit Gym,088025 18878,https://thehealthfitgym.com/,"J -98 A, First Floor Gali No 37, Main, Main Bharat Vihar Rd, opposite SBI ATM, Raja Puri, New Delhi, Delhi 110059",https://www.instagram.com/healthfit_gym_/,https://www.facebook.com/people/Health-Fit-Fitness-Centre/100076081681280/,https://www.linkedin.com/,healthfitgym@gmail.com,Delhi,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
Component Fitness - The Most Premium Gym in Malviya nagar,088001 17699,https://www.componentfitness.co.in/,"D-80, First Floor, Malviya Nagar Rd, above Punjab National Bank, Main Market, New Delhi, Delhi 110017",https://www.instagram.com/component_fitness_mn/,https://www.facebook.com/Componentfitnessofficial,https://www.linkedin.com/company/component-fitness/,info@componentfitness.co.in,Delhi,Legacy Run,,Yes,Yes,Yes,100.0,100,Hot
Strength Gym - Khar,098679 11577,https://strengthgym.in/,"Ramee Constructions Ramee Tecttonic, Plot No-786, Rd No. 3, Govind Dham, Khar West, Mumbai, Maharashtra 400052",https://www.instagram.com/the.strengthgym/?hl=en,https://www.facebook.com/TheStrengthGym.Juhu/,,info@website.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
